id,assess_id,assess_date
134,10575,11/10/2022
135,9954,10/01/2021
136,10116,10/07/2022
137,10136,11/07/2022
138,10362,11/25/2022
139,9617,11/03/2021
140,8572,10/11/2018
141,10108,03/16/2022
142,10940,01/25/2024
143,8587,12/05/2019
144,10779,11/30/2023
145,10905,12/19/2023
146,10615,12/16/2022
147,10917,12/05/2023
148,10760,07/21/2023
149,10706,07/20/2023
150,11317,03/19/2024
151,10325,06/01/2022
152,4477,02/28/2012
153,9974,09/12/2022
154,10923,12/08/2023
155,10924,12/08/2023
156,9949,10/28/2021
157,8557,10/24/2019
158,9857,03/24/2022
159,10775,06/28/2023
160,9806,11/12/2021
161,8470,02/10/2020
162,10765,09/06/2023
163,10151,09/24/2022
164,7385,09/23/2019
165,10522,02/27/2023
166,10807,11/06/2023
167,10143,06/09/2022
168,10225,02/28/2022
169,8651,07/04/2019
170,8209,06/07/2017
171,10508,04/19/2023
172,9668,04/07/2022
173,7858,01/12/2024
174,9087,06/10/2020
175,8508,04/26/2018
176,9480,04/01/2021
177,10101,04/07/2022
178,10102,04/07/2022
179,10915,12/11/2023
180,8664,04/11/2019
181,11001,12/14/2022
182,10178,06/22/2022
183,9735,01/14/2021
184,9915,04/08/2022
185,10500,02/15/2023
186,10669,06/13/2023
187,11275,03/01/2024
188,10886,09/01/2023
189,11306,03/01/2025
190,11516,09/01/2024
191,8917,11/29/2021
192,10774,10/04/2023
193,11006,10/20/2023
194,8717,11/30/2018
195,11246,12/01/2023
196,9057,02/21/2020
197,9111,02/20/2020
198,9113,02/20/2020
199,9224,02/21/2020
200,10509,03/27/2023
201,10184,06/14/2022
202,10515,04/20/2023
203,6471,03/31/2014
204,9065,01/21/2021
205,6150,03/28/2022
206,11437,03/28/2022
207,10415,07/15/2022
208,10689,05/31/2023
209,11003,05/26/2023
210,6590,06/28/2014
211,6632,06/28/2014
212,6634,07/19/2017
213,9675,03/04/2021
214,10657,07/27/2023
215,10757,10/18/2023
216,10758,07/27/2023
217,6491,03/14/2016
218,10085,04/11/2022
219,10511,03/31/2023
220,9308,03/10/2022
221,9795,04/16/2021
222,9775,09/21/2022
223,11046,09/01/2023
224,9080,07/13/2020
225,9309,08/12/2022
226,10079,12/12/2021
227,10109,04/14/2022
228,8896,11/24/2020
229,10687,05/08/2023
230,10695,05/08/2023
231,10696,05/09/2023
232,10294,10/19/2022
233,10386,01/16/2023
234,10770,09/18/2023
235,8722,07/25/2019
236,10238,04/01/2022
237,11167,10/01/2023
238,9886,05/01/2021
239,9465,10/26/2021
240,9040,08/12/2019
241,8875,12/08/2020
242,8671,09/27/2019
243,9479,05/03/2022
244,10655,09/19/2023
245,8606,02/02/2019
246,10816,03/01/2023
247,11342,03/12/2024
248,9430,11/02/2019
249,9431,05/05/2023
250,10141,06/16/2022
251,10165,06/17/2022
252,10166,06/16/2022
253,10243,06/23/2023
254,9336,01/12/2024
255,10496,03/31/2023
256,10895,04/01/2023
257,10930,07/07/2021
258,9068,05/23/2022
259,9214,06/24/2022
260,9215,08/19/2022
261,9096,05/30/2015
262,7526,08/31/2016
263,10185,06/23/2022
264,10679,06/22/2023
265,10699,06/20/2023
266,10683,06/13/2023
267,10684,06/20/2023
268,9805,11/24/2023
269,8806,10/18/2019
270,9102,10/08/2020
271,10106,04/07/2022
272,10107,04/07/2022
273,10897,08/08/2023
274,9819,09/12/2022
275,10637,07/07/2021
276,9685,04/08/2021
277,7975,03/29/2021
278,10326,05/23/2022
279,10092,10/28/2022
280,10777,09/19/2023
281,7533,12/07/2016
282,10187,05/18/2022
283,11439,06/24/2022
284,10288,10/25/2022
285,10678,05/05/2023
286,7546,11/11/2019
287,6993,07/28/2015
288,7479,03/19/2021
289,10658,04/16/2023
290,10104,05/06/2022
291,8876,12/15/2020
292,9477,02/25/2021
293,9202,07/29/2020
294,10697,06/27/2023
295,11059,02/26/2024
296,10525,03/03/2023
297,10701,06/06/2023
298,10796,07/25/2023
299,9101,11/15/2019
300,10311,09/10/2022
301,10505,03/23/2023
302,10406,10/18/2022
303,10999,12/14/2023
304,8466,10/21/2022
305,8467,11/08/2021
306,10086,06/01/2022
307,8527,02/26/2021
308,10521,08/19/2022
309,8468,03/04/2022
310,10414,12/13/2022
311,8530,02/20/2020
312,8615,01/23/2021
313,7122,05/30/2015
314,10942,12/13/2024
315,10520,03/27/2023
316,10865,09/26/2023
317,10312,09/29/2022
318,10668,06/27/2023
319,10837,09/28/2023
320,10309,09/29/2022
321,9315,10/21/2021
322,9316,11/06/2021
323,9665,10/21/2021
324,10876,09/06/2023
325,9066,06/04/2021
326,9159,09/29/2020
327,10596,07/06/2023
328,10894,04/26/2023
329,10898,04/05/2023
330,10528,02/03/2023
331,10793,08/03/2023
332,11110,02/29/2024
333,11007,12/07/2023
334,7292,03/28/2022
335,8528,10/23/2019
336,10099,05/09/2022
337,9906,05/24/2022
338,9357,11/02/2021
339,10517,04/27/2023
340,10921,11/09/2023
341,8026,10/03/2019
342,10385,11/24/2022
343,8359,10/10/2019
344,10707,05/02/2023
345,11256,05/05/2022
346,8017,08/27/2019
347,9089,03/04/2020
348,9366,10/22/2021
349,9505,04/08/2022
350,9705,10/27/2021
351,10248,12/01/2021
352,9895,05/18/2022
353,10217,03/01/2022
354,8725,02/18/2020
355,10660,06/02/2023
356,9100,03/04/2021
357,10137,06/21/2022
358,10537,05/01/2023
359,10135,06/21/2022
360,10663,07/28/2023
361,10155,05/06/2022
362,10156,05/06/2022
363,10168,05/30/2022
364,10219,03/25/2022
365,10585,10/01/2023
366,10405,10/19/2022
367,10306,10/19/2022
368,10598,01/14/2023
369,9296,05/07/2022
370,8860,12/16/2020
371,10147,06/21/2022
372,9836,02/11/2022
373,7091,09/23/2019
374,9203,09/29/2020
375,10313,10/19/2022
376,10388,11/17/2022
377,8584,11/03/2018
378,8946,06/08/2020
379,10303,10/19/2022
380,10076,07/08/2021
381,8407,06/17/2019
382,10077,07/08/2021
383,9045,06/05/2020
384,9435,09/30/2019
385,10506,04/14/2023
386,10015,05/28/2022
387,9755,04/29/2022
388,9970,03/23/2022
389,8667,06/24/2019
390,10533,04/14/2023
391,10802,08/17/2023
392,11319,04/01/2024
393,8649,06/19/2019
394,9193,09/24/2020
395,9194,09/24/2020
396,10667,06/06/2023
397,9965,11/18/2021
398,9967,11/18/2021
399,8735,12/07/2018
400,10391,10/16/2022
401,10457,04/25/2022
402,10686,06/27/2023
403,10788,02/06/2024
404,10164,05/16/2022
405,10167,05/30/2022
406,10670,05/31/2023
407,9086,06/10/2020
408,8574,09/24/2018
409,10958,01/25/2024
410,10383,11/23/2022
411,11247,11/18/2023
412,10896,04/03/2023
413,9196,09/14/2020
414,9197,09/14/2020
415,9207,09/17/2020
416,9946,09/15/2021
417,11350,12/06/2022
418,9953,09/28/2021
419,9950,09/28/2021
420,9175,12/11/2019
421,8765,07/17/2020
422,10523,02/09/2023
423,10103,05/09/2022
424,9036,03/14/2020
425,6304,11/25/2014
426,9200,09/10/2020
427,9201,09/10/2020
428,10315,02/12/2024
429,9359,11/10/2021
430,10803,09/14/2023
431,8642,03/05/2021
432,9625,03/04/2021
433,8855,02/26/2021
434,10205,08/31/2021
435,9170,02/21/2020
436,9171,02/21/2020
437,10045,04/21/2022
438,8731,09/22/2018
439,9221,03/04/2021
440,10105,03/10/2022
441,10565,04/13/2023
442,10115,12/10/2021
443,10285,04/28/2022
444,10767,07/13/2023
445,10937,01/16/2024
446,8577,10/11/2018
447,9837,02/04/2022
448,8326,09/01/2020
449,10839,07/24/2023
450,10768,11/05/2023
451,4457,08/12/2011
452,9191,10/26/2020
453,9766,01/14/2022
454,7537,09/11/2016
455,10171,04/18/2022
456,10172,06/08/2022
457,8676,04/09/2021
458,9098,08/21/2020
459,10799,09/14/2023
460,10995,11/17/2024
461,10586,11/01/2023
462,10771,07/22/2023
463,10298,09/07/2022
464,10297,10/04/2022
465,10772,10/13/2023
466,8386,11/23/2017
467,10299,10/04/2022
468,10789,12/04/2023
469,10411,11/21/2022
470,11315,02/21/2024
471,9297,04/01/2019
472,8022,08/27/2019
473,10764,10/17/2023
474,11335,04/25/2022
475,10530,04/13/2023
476,10094,04/07/2022
477,10597,02/17/2023
478,8023,08/29/2019
479,9056,02/28/2020
480,9104,02/28/2020
481,9208,02/24/2020
482,9947,11/11/2021
483,8661,08/27/2019
484,9589,02/04/2021
485,10664,04/17/2023
486,10186,05/01/2022
487,8650,07/16/2019
488,10544,02/17/2023
489,6621,03/15/2016
490,9108,03/02/2021
491,9172,03/02/2021
492,10735,02/10/2023
493,10546,04/21/2023
494,9071,06/24/2020
495,9083,06/10/2020
496,10998,11/16/2023
497,8581,09/24/2018
498,10800,09/12/2023
499,11016,11/14/2023
500,9535,04/30/2020
501,8409,11/14/2019
502,10347,11/16/2023
503,8408,11/14/2019
504,8158,03/29/2018
505,10096,04/13/2022
506,7976,12/15/2016
507,10139,05/28/2022
508,9151,02/21/2020
509,6493,04/29/2015
510,6542,02/22/2016
511,6581,06/02/2014
512,6592,06/28/2014
513,6624,07/19/2017
514,6637,06/28/2014
515,9154,03/03/2021
516,9166,03/03/2021
517,6495,03/25/2015
518,6485,11/24/2016
519,10356,11/03/2022
520,9105,01/08/2020
521,10154,05/30/2022
522,11008,11/06/2023
523,9085,06/10/2020
524,10846,03/24/2023
525,10845,03/24/2023
526,10745,02/10/2023
527,10547,04/03/2023
528,9025,02/10/2020
529,10146,05/04/2022
530,10366,11/21/2022
531,10206,01/04/2022
532,11063,02/26/2024
533,10465,09/01/2023
534,10357,11/18/2022
535,8591,11/02/2018
536,10674,04/25/2023
537,11156,04/01/2023
538,9758,10/27/2021
539,10376,11/29/2022
540,11018,07/16/2023
541,9069,06/10/2020
542,10036,10/01/2021
543,6647,03/15/2016
544,6633,06/28/2014
545,10293,07/27/2022
546,8683,10/22/2020
547,7481,09/09/2020
548,9968,03/28/2022
549,9905,05/02/2022
550,9173,07/23/2020
551,10300,09/26/2022
552,10301,09/26/2022
553,9174,08/11/2020
554,10226,01/22/2024
555,8668,07/29/2019
556,10389,11/19/2022
557,9137,07/24/2020
558,10140,04/30/2022
559,7482,02/26/2021
560,8154,02/15/2018
561,8858,12/09/2020
562,10161,07/23/2022
563,10541,02/16/2023
564,8619,08/20/2020
565,10497,02/09/2023
566,9495,12/02/2020
567,9145,08/07/2020
568,10675,05/12/2023
569,9588,04/01/2021
570,10543,03/31/2023
571,10256,03/29/2022
572,8169,01/25/2018
573,10266,03/22/2022
574,7585,09/21/2016
575,10098,05/04/2022
576,10148,06/21/2022
577,10087,05/12/2022
578,9568,06/23/2020
579,6644,06/28/2014
580,10836,10/18/2023
581,10997,10/18/2023
582,8438,04/12/2018
583,7009,02/24/2016
584,9537,10/27/2021
585,10455,07/18/2022
586,11285,07/19/2022
587,9649,09/25/2022
588,9084,11/24/2020
589,9219,11/26/2020
590,9220,11/26/2020
591,11146,01/22/2024
592,8589,10/23/2021
593,10875,08/16/2023
594,10142,06/15/2022
595,8079,04/12/2019
596,10531,04/14/2023
597,10925,12/05/2023
598,10671,05/09/2023
599,10928,12/19/2023
600,10957,11/02/2023
601,10965,05/18/2023
602,8107,11/30/2017
603,8174,11/30/2017
604,9747,11/25/2021
605,11296,05/11/2020
606,7011,11/12/2015
607,9396,10/18/2021
608,9397,10/18/2021
609,10410,01/12/2023
610,10144,06/30/2022
611,10355,10/28/2022
612,9148,10/01/2020
613,10095,04/25/2022
614,9039,08/13/2019
615,7508,12/08/2016
616,8125,02/16/2018
617,10887,10/05/2023
618,10235,01/23/2024
619,10555,02/09/2023
620,9189,09/11/2020
621,9190,09/11/2020
622,9181,07/08/2020
623,8586,10/20/2018
624,9183,02/27/2020
625,9184,02/27/2020
626,7406,01/24/2017
627,4676,11/09/2021
628,10407,11/14/2022
629,10367,11/28/2022
630,10121,12/20/2021
631,11266,12/15/2023
632,8529,10/21/2019
633,8706,12/14/2020
634,9516,05/11/2020
635,10811,10/23/2023
636,10401,11/09/2022
637,10512,03/04/2023
638,10380,12/13/2022
639,9618,04/26/2023
640,10766,10/13/2023
641,10526,02/16/2023
642,10595,03/23/2023
643,8815,09/21/2020
644,8248,11/25/2020
645,8045,12/15/2017
646,10369,11/22/2022
647,10931,01/05/2024
648,11074,01/19/2024
649,9966,11/04/2021
650,8647,10/04/2019
651,9157,11/24/2020
652,4765,02/24/2012
653,6310,12/10/2014
654,10382,12/22/2022
655,9669,11/19/2021
656,8251,11/22/2021
657,8252,11/22/2021
658,10373,11/17/2022
659,10374,11/17/2022
660,10445,01/11/2023
661,8905,02/14/2020
662,10784,09/30/2023
663,10797,11/09/2023
664,10798,10/17/2023
665,10425,01/19/2024
666,10908,09/08/2023
667,9746,11/25/2021
668,9757,11/25/2021
669,9116,12/14/2020
670,9223,03/01/2021
671,11135,02/08/2024
672,9816,03/16/2022
673,9216,11/07/2019
674,8682,10/15/2019
675,8718,10/15/2019
676,6473,03/31/2014
677,9972,08/11/2022
678,9168,09/29/2020
679,9169,09/29/2020
680,9195,09/22/2020
681,9355,09/23/2021
682,10499,03/22/2023
683,5553,04/12/2021
684,10118,12/22/2021
685,8716,12/01/2018
686,11036,07/29/2023
687,10215,12/27/2023
688,7222,02/24/2020
689,10938,01/25/2024
690,9079,06/05/2020
691,9785,10/20/2021
692,10783,11/16/2023
693,9112,02/20/2020
694,9128,02/20/2020
695,10676,05/30/2023
696,10681,06/26/2023
697,10680,06/26/2023
698,10725,01/24/2024
699,11070,02/23/2024
700,10529,01/19/2023
701,10397,10/16/2022
702,11116,02/02/2024
703,9265,10/26/2021
704,9155,12/01/2020
705,9217,11/30/2020
706,11255,02/13/2024
707,9335,06/24/2019
708,8653,09/10/2019
709,9153,12/01/2020
710,11105,02/13/2024
711,10287,09/27/2022
712,10289,09/27/2022
713,10372,11/14/2022
714,9135,06/18/2021
715,10524,04/13/2023
716,8665,10/29/2020
717,8728,11/02/2020
718,10335,11/29/2023
719,8461,06/15/2021
720,10909,12/07/2023
721,10835,08/17/2023
722,10090,04/08/2022
723,9245,09/11/2019
724,9099,07/13/2020
725,9666,11/16/2021
726,9956,11/22/2021
727,8607,12/02/2020
728,10304,11/03/2022
729,10307,11/03/2022
730,7684,12/14/2016
731,10378,11/04/2022
732,11168,09/01/2023
733,9365,09/01/2019
734,10358,11/03/2022
735,10513,04/17/2023
736,4103,02/01/2010
737,9298,03/11/2021
738,9127,02/13/2020
739,10177,05/26/2022
740,10158,06/02/2022
741,9951,09/27/2021
742,9952,09/27/2021
743,10548,03/09/2023
744,11320,03/10/2024
745,9448,12/01/2021
746,10939,02/09/2024
747,10153,09/12/2022
748,10956,01/05/2024
749,9368,12/15/2021
750,10794,08/10/2023
751,10795,08/10/2023
752,6801,05/04/2018
753,9555,04/28/2022
754,10890,08/11/2023
755,10900,02/05/2024
756,9596,11/16/2021
757,8325,06/11/2019
758,10792,01/18/2024
759,11307,04/01/2025
760,9756,12/02/2021
761,10717,11/01/2023
762,6967,07/22/2015
763,10761,09/17/2023
764,9176,01/09/2020
765,9097,03/03/2020
766,9670,11/03/2021
767,10175,06/07/2022
768,10359,11/03/2022
769,10726,07/28/2023
770,9164,09/28/2020
771,9213,02/07/2020
772,10542,02/17/2023
773,9367,10/18/2021
774,11245,10/11/2023
775,10037,09/09/2022
776,9256,10/13/2020
777,10645,03/07/2023
778,5833,10/17/2013
779,10705,06/12/2023
780,11321,04/01/2025
781,9146,02/15/2021
782,10498,01/31/2023
783,10960,02/01/2024
784,10899,02/21/2023
785,10363,10/14/2022
786,10150,06/20/2022
787,11316,03/10/2024
788,9226,11/16/2021
789,10065,09/13/2022
790,10502,02/24/2023
791,10501,03/07/2023
792,11195,11/23/2023
793,10174,09/24/2022
794,7694,09/09/2018
795,8333,07/19/2019
796,8608,01/18/2021
797,8609,02/05/2020
798,10891,09/01/2023
799,10180,06/17/2022
800,11380,05/01/2024
801,10926,11/30/2023
802,11305,04/01/2025
803,11318,05/15/2024
804,9026,11/13/2020
805,8907,03/15/2021
806,10550,03/02/2023
807,10097,03/26/2022
808,10790,09/07/2023
809,10402,11/21/2022
810,9149,02/28/2020
811,9162,12/08/2020
812,9130,02/07/2020
813,9131,02/07/2020
814,10776,07/26/2023
815,9129,02/14/2020
816,8856,12/15/2020
817,8862,11/25/2020
818,8906,11/18/2021
819,10093,04/14/2022
820,9078,06/10/2020
821,10929,01/26/2024
822,7905,08/12/2019
823,9115,12/02/2021
824,11265,01/05/2024
825,10855,10/23/2023
826,10944,10/23/2023
827,9635,02/21/2020
828,9636,01/30/2020
829,7252,11/26/2021
830,8721,01/10/2020
831,10808,06/19/2023
832,10149,05/12/2022
833,10892,10/09/2023
834,11165,02/06/2024
835,9481,10/28/2021
836,5247,09/17/2012
837,9475,05/27/2021
838,9427,04/12/2022
839,9428,04/11/2022
840,9429,11/07/2023
841,10787,11/07/2023
842,9407,08/27/2020
843,10516,02/14/2023
844,10392,10/14/2022
845,9748,09/17/2021
846,9835,06/29/2021
847,9973,09/14/2022
848,8153,08/24/2017
849,8680,04/13/2021
850,7459,01/13/2017
851,10504,02/21/2023
852,10162,07/24/2022
853,11065,02/06/2024
854,11137,09/25/2023
855,10371,11/22/2022
856,10682,06/07/2023
857,10700,05/15/2023
858,10345,06/01/2022
859,10399,01/16/2023
860,5760,08/26/2013
861,6546,03/18/2015
862,8624,09/20/2019
863,10237,06/22/2023
864,10239,06/08/2023
865,10240,06/23/2023
866,10241,06/22/2023
867,10242,06/22/2023
868,10244,06/22/2023
869,10245,04/01/2022
870,10246,04/01/2022
871,10247,04/01/2022
872,10412,11/07/2022
873,10413,11/07/2022
874,8629,07/18/2019
875,9446,09/30/2022
876,9212,08/13/2020
877,10370,11/14/2022
878,7053,12/18/2015
879,10838,01/01/2023
880,8977,03/14/2020
881,10365,11/02/2022
882,10308,09/21/2022
883,10310,09/21/2022
884,10763,08/15/2023
885,9868,04/11/2022
886,9255,03/25/2022
887,10698,06/15/2023
888,8515,02/09/2019
889,9948,05/02/2022
890,8618,01/16/2020
891,9567,11/26/2021
892,8654,10/08/2020
893,10361,12/12/2022
894,11076,07/29/2023
895,9922,09/23/2022
896,7536,12/19/2016
897,6875,12/18/2016
898,10456,12/01/2023
899,10933,01/30/2024
900,11108,02/20/2024
901,8445,12/04/2017
902,7540,12/19/2016
903,10078,09/23/2022
